preferredLabel;description
crush seeds;Crush seeds by passing the seeds or kernels between steel rollers.
issue licences;Issue official documentation which grants licence holders with official permission to perform certain activities, after having investigated the application and processed the necessary documentation.
create scenery display;Create a scenery display that represents the natural environment of the displayed product.
provide online help;Provide  support information  to users delivered through an ICT system to give assistance or present information either on a broad range of subjects or for a specific topic or product.
mine safety legislation;The laws, regulations and codes of practice relevant to safety in mining operations.
blood transfusion;The procedures involved in blood transfusions, including compatibility and disease testing, by means of which blood is transferred into blood vessels, taken from donors with the same blood type.
restore natural environment after drilling proofs;Restore drilling site to its natural environmental condition in the event that drilling will not take place.
test ground system performance;"Develop test strategies for complex software and hardware products; include troubleshooting and system support; calculate system performance."
operate heavy construction machinery without supervision;Work with heavy construction machinery independently without the intervention of a supervisor. Take responsibility for your decisions and actions.
write Hebrew;Compose written texts in Hebrew.
analyse business objectives;Study data according to business strategies and objectives and make both short-term and long-term strategic plans.
psychomotor therapy;Psychomotor observation and therapy in adults, children and persons with an intellectual disability meant to tackle the psychiatric problems of a person.
create advocacy material;Design compelling content such as blog posts, messaging or social media campaigns in order to influence political, economic or social decisions.
stay up-to-date with vehicle trends;Gather information about the current trends and styles of vehicles, and the need for new products or services.
exercise self-reflection;Effectively, regularly and systematically reflect on own actions, performance, and attitudes, and make necessary adjustments, seeking professional development opportunities to plug knowledge and practice gaps in identified areas.
develop methodologies for supplier evaluation;Help define and update a methodology for assessing key suppliers according to potential incidents, delivery times, and reliability.
adapt artistic plan to location;Adjust plans to other locations with regards to the artistic concept.
condition broodstock;Incubate eggs until hatching. Assess quality of eggs. Inspect fish eggs. Remove dead, unviable, and off-colour eggs using a suction syringe. Produce eyed eggs. Hatch and maintain new-born larvae.
apply machine cutting techniques for footwear and leather goods;Adjust and establish the machine technical operating parameters for cutting footwear and leather goods. Check and select the cutting dies, classification of the cut pieces against cutting restrictions, specifications and quality requirements. Check and complete the cutting orders. Perform simple procedures for maintenance of machines.
islamic studies;The studies dealing with the Islamic religion, its history and texts, and the study of the theological interpretation of the Islam.
distribute control signals;Distribute control signals between light boards, dimmers and other lighting equipment. Control systems can be either DMX or network based.
perform image guidance in radiation therapy;Perform image guidance in accordance with the protocol to improve the precision and accuracy of the delivery of the radiation treatment.
prepare lifeboats;Prepare lifeboats in ships before departure, ensure full functionality in case of emergency, follow regulatory instructions for lifesaving boats.
vessel fuels;Know and understand characteristics of fuels and lubricants, and the fuel loading specifications of various types of vessels.
rack wines;Rack wines by siphoning the wine off of sediments that settle out to the bottom of vessels such as carboy. Operate machinery needed to effectuate the process of racking.
direct movement experiences;Assist clients or patients in moving in a structured or improvisatory manner for expressive purposes.
adapt lifestyle for sports performance;Plan and manage effectively sporting commitments (e.g. time for training, competition) versus leisure time to create the conditions to perform as a player/athlete at the highest sport level.
oversee logistics of finished products;Ensure that the processes of packing, storage and shipment of finished products meet the requirements.
waste management;The methods, materials and regulations used to collect, transport, treat and dispose of waste. This includes recycling and monitoring of waste disposal.
work in a forestry team;Collaborate with other forest workers in a team in service of forestry or forest related operations.
dispose of hazardous waste;Dispose of dangerous materials such as chemical or radioactive substances according to environmental and to health and safety regulations.
develop chiropractic treatment plans;Develop new chiropractic treatment plan and review the existing components such as chiropractic manual therapy, manual therapy of soft tissue and other tissue, therapeutic range of motion, therapeutic rehabilitative exercise and the application of technological equipment (ultrasound, traction, electrical and light modalities).
player logic;The strategies and logic adapted by lottery, betting or gaming players.
micromechatronic engineering;Cross-disciplinary engineering which focuses on the miniaturisation of mechatronic systems.
develop preventive maintenance procedures for instruments;Develop and upgrade preventive maintenance procedures for components, equipment or systems.
plan musical performances;Schedule rehearsals and music performances, arrange details such as locations, select accompanists and instrumentalists.
advise on property value;Provide advise to those that own a property, professionals in real estate, or prospective clients in real estate on the current monetary value of a property, the potential of development in order to increase the value, and other relevant information concerning the value of the in the future developments of the real estate market.
assess environmental impact in aquaculture operations;Measure the environmental impact of a companys aquaculture operations. Take into account factors such as quality of the sea and surface water, fish and sea plant habitats and risks regarding the quality of air, odour and noise.
supervise the work of staff on different shifts;Oversee the activities of the employees working in shifts in order to ensure continuous operations.
animal food products;The principles of traceability, hygiene and processes involved in the production, manufacture, storage and putting into circulation of animal feedstuffs, or foodstuffs of animal origin intended for human and/or animal consumption.
electric bicycles;Type of bicycle that functions with an integrated electric motor that assists the riders pedal-power.
write Berber;Compose written texts in Berber.
provide door security;Spot and monitor individuals or groups of people at the door who intend to enter the premises unlawfully or have potential for causing threats.
demonstrate disciplinary expertise;Demonstrate deep knowledge and complex understanding of a specific research area, including responsible research, research ethics and scientific integrity principles, privacy and GDPR requirements, related to research activities within a specific discipline.
use consulting techniques;Advise clients in different personal or professional matters.
inform on safety standards;Inform managers and staff regarding workplace health and safety standards,,especially in the case of dangerous environments, such as in the construction or mining industry.
apply extruding techniques;Apply specific techniques for extrusion process in the food industry.
detect flaws in pipeline infrastructure;Detect flaws in pipeline infrastructure during construction or over the passage of time. Detect flaws such as construction defects, corrosion, ground movement, hot-tap made by error, and others.
follow newspaper house style;Produce concise and accurate copy according to newspapers house style and to strict deadlines - daily newspapers may have several each day.
advise on plant fertilizer;Discuss and recommend different types of fertilisers, and explain when and how they should be prepared and applied.
treat swallowing disorders;Work with patients to develop and strengthen the muscles used to swallow.
use different communication channels;Make use of various types of communication channels such as verbal, handwritten, digital and telephonic communication with the purpose of constructing and sharing ideas or information.
set up aquaculture cage mooring system;Set up aquaculture cage mooring system in accordance with plans.
assemble electrical components;Assemble switches, electrical controls, circuit boards and other electrical components by using hand and soldering equipment.
law enforcement;The different organisations involved in law enforcement, as well as the laws and regulations in law enforcement procedures.
write Vietnamese;Compose written texts in Vietnamese.
inspect fish eggs;Inspect fish eggs. Remove dead, unviable, and off-colour eggs using a suction syringe.
develop new bakery products;Invent new bakery products to be developed, taking customer demands and suggestions into account.
provide an enriching environment for animals;Provide an enriching environment for animals to allow the expression of natural behaviour, and including adjusting environmental conditions, delivering feeding and puzzle exercises, and implementing manipulation, social, and training activities.
collect real-time geolocation information;Use tools, techniques, and procedures to remotely exploit and establish persistence on a target. Provide real-time, actionable geolocation information utilizing target infrastructures. 
use pipeline video equipment;Handle movable video cameras which visually inspect sewerage systems and pipelines. This camera is attached via a long cable entwined upon a winch. Analyse the footage to see if any repair or maintenance is needed.
determine release date;Determine the best date or period to release a movie or series.
weigh materials;Weigh materials and products, record weight and other relevant data on tags or labels.
provide ICT system training;Plan and conduct training of staff on system and network issues. Utilise training material, evaluate and report on the learning progress of trainees.
develop visual elements;Imagine and apply visual elements such as line, space, colour, and mass to express emotions or ideas.
side effects of radiotherapy treatment;The side effects and responses that patients can have after undergoing radiotherapy treatments.
protect important clients;Keep clients safe who have extraordinary level of risk by organising and providing the relevant security.
conduct quality control analysis;Conduct inspections and tests of services, processes, or products to evaluate quality.
ensure animal welfare in slaughtering practices;Respect the needs of livestock and apply the regulations regarding animal welfare in the meat and meat products manufacturing sector. Respond correctly to animal issues from unloading until stunning of the animals.
train reception staff;Instruct the reception staff in order to make sure the staff can execute their tasks adequately, efficiently and according to guidelines.
monitor the transfer of oil;Ensure that no oil is spilled or leaked while being transferred into the lightering vessel. Oversee the connection of hoses and the manoeuvring of the vessels when the operation is completed.
install roof windows;Install various types of windows on the roof such as skylight, dormer windows and flat roof windows.
metal polishing machine parts;The various parts, their qualities and applications, of a metalworking machine designed for buffing and polishing metal surfaces, such as the brush head, contact roller head, drum, drum base, lock bar, shell, and others.
perform ground maintenance activities;Clean building grounds of rubbish, glass or any other trash, mow grass or trim bushes.
monitor quality of broadcasts;Monitor strength, clarity, and reliability of incoming and outgoing signals to adjust equipment as necessary to maintain the quality of the broadcast.
manage business knowledge;Set up structures and distribution policies to enable or improve information exploitation using appropriate tools to extract, create and expand business mastery.
printing techniques;The techniques and processes to reproduce text and images using a master form or template such as letterpress printing, gravure, and laser printing.
perform technical sound check;Prepare and run a technical sound check before rehearsals or live shows. Check instrument setup and ensure correct functioning of the audio equipment. Anticipate possible technical problems during a live show.
enable access to services;Enable access to the different services which may be available to people with precarious legal status such as immigrants and offenders on probation in order to secure their inclusion in a facility or program, and communicate with the service providers to explain the situation and convince them of the advantages of including the individual.
anticipate transport demand;Communicate with city services and event organisations to anticipate increases in the demand for transportation in order to maintain customer service standards and avoid disruptions.
textile materials;Have a good understanding of the properties of different textile materials.
sustainable forest management;The stewardship and use of forest lands in a way and at a rate that maintains their productivity, biodiversity, regeneration capacity, vitality and their potential to fulfil now and in the future relevant ecological, economic and social functions at local, national and global levels and that does not cause damage to other ecosystems.
decide on loan applications;Take into account the risk assessment and analysis and perform the final reviewing of the loan application in order to approve or deny the loan, and set in motion the necessary procedures following the decision.
industrial software;The selection of software that aids in estimating, managing and scheduling industrial processes such as design, work flow and production improvement.
examine cell specimens microscopically;Prepare and put the cell specimens received for examination on slides, stain and mark cellular changes and abnormalities.
share good practices across subsidiaries;Investigate and document good practices and knowledge rendering a superior productivity in order to spread it in other departments or subsidiaries of the organisation.
develop professional identity in social work;Strive to provide the appropriate services to social work clients while staying within a professional framework, understanding what the work means in relation to other professionals and taking into account the specific needs of your clients.
analyse fish samples for diagnosis;Analyse samples or lesions from farmed aquatic species for professional diagnosis and treatments.
perform data mining;Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.
understand written Czech;Read and comprehend written texts in Czech.
assess the compatibility of individuals and animals to work together;Ensure work harmony between humans and animals, regarding to physical characteristics, capacity, temperament and potential.
prepare the assessment of prior learning;Familiarise the candidate with the assessment situation and guide them through the process of assessment of their prior learning.
manage gambling game;Observe and review the history data of the game of players and analyse their profile to enable proactive management of the gaming operation. Involve  Gaming Managers into the review process in a regular basis in order to assist where needed.  
restore art using scientific methods;Follow closely works of art and artifacts by using scientific tools such as x-rays and visual tools, to define the causes of deterioration. Analyse the possibility to restore these objects in a way that can take their original form or condition.  
timing devices;All mechanical and electric instruments that indicate time, such as clocks, watches, pendulums, hairsprings, and chronometers.
organise fire station;Organise the place where fire engines and other equipment are housed to ensure safe and efficient operations.
dig soil mechanically;Use mechanical equipment to dig up and move soil. Form pits according to excavation plans.
operate furnace;Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting, to produce specified types of steel, or to finish other materials such as cokes. Set furnace controls to regulate temperatures and heating time.
medication classification;Categories of medication such as antibiotics, anti-inflammatory and antiviral.
legal use-of-force;The characteristics of the use-of-force, which is a legal doctrine employed by police and army forces, to regulate acts of violence during interventions. Use-of-force is ought to balance security needs with ethical concerns for the rights and well-being of intruders or suspects.
write Portuguese;Compose written texts in Portuguese.
remove finished casts;Open mould and safely remove the finished cast from within.
assess employees capability levels;Evaluate the capabilities of employees by creating criteria and systematic testing methods for measuring expertise of individuals within an organisation.
order vehicles;Order new or second-hand vehicles following business specifications and procedures.
teach university class;Instruct university students in the theory and practice of a certain subject or field taught by an assistant lecturer or professor with the aim of enriching their knowledge.
process animal by-products;Carry out initial processing of animal by-products for example skin, in preparation for further processing
demonstrate curiosity;Show a lively interest in novelty, an openness to experience, find subjects and topics fascinating, actively explore and discover new areas.
operate pasteurisation processes;Follow and apply procedures to pasteurise food and beverages. Recognise the properties of the products to be pasteurised and adapt procedures accordingly.
petrology;The scientific field of geology that studies the composition, structure, texture, other characteristics, and regional gradations of rocks.
use diagnostic tools for electronic repairs;Use diagnostic equipment to measure current, resistance and voltage. Handle sophisticated multimeters to measure inductance, capacitance and current transistor gain.
clean carcasses;Remove organs, fats sticking hole, spinal cord, and diaphragm from carcasses. Perform cleaning of the carcass following established procedures in order to obtain a final carcass presentation.
serve food in table service;Provide food at the table whilst maintaining high level of customer service and food safety standards.
ensure customs compliance;implement and monitor compliance with import and export requirements in order to avoid customs claims, supply chain interruption, increased overall costs.
provide sedation to animals;Select, administer and monitor sedatives dispensed to animals for a medical intervention.
adjust engineering designs;Adjust designs of products or parts of products so that they meet requirements.
control pumping operations in petroleum production;Control plant operations and gas and oil pumping equipment. Monitor gauges and monitors and control the equipment to make sure the extraction proceeds efficiently and safely.
write Danish;Compose written texts in Danish.
operate precision measuring equipment;Measure the size of a processed part when checking and marking it to check if it is up to standard by use of two and three dimensional precision measuring equipment such as a caliper, a micrometer, and a measuring gauge.
Pentaho Data Integration;The computer program Pentaho Data Integration is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Pentaho.
prepare credit reports;Prepare reports which outline an organisations likelihood of being able to repay debts and do so in a timely manner, meeting all the legal requirements linked to the agreement.
describe chemical innovation in products;Clearly explain chemical innovations and variations made to products at the production level. Works closely with process chemists and control engineers to ensure the process plant improvements are implemented according to plan.
count money;count money by sorting and wraping money and coins.
emergent technologies;The recent trends, developments and innovations in modern technologies such as biotechnology, artificial intelligence and robotics.
change window displays;Change or rearrange window displays. Reflect changes in the shop inventory. Emphasise new promotional actions.
regulations for international transportation;Know the relevant regulations and legislation that applies to transportation of national or foreign cargo or passengers to and from different countries via vessels or aircraft.
prepare fruit ingredients for use in beverages;Cut or blend fruits for use in preparation and decoration of drinks such as cocktails and aperitifs.
schedule recreation facilities;Schedule the use of recreational facilities.
Smalltalk (computer programming);The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Smalltalk.
finish concrete sections;Finish electrolytic cells` concrete sections using grinders or trowels.
provide advocacy interpreting services;Provide language interpretation services aimed at helping people belonging to minority communities get their message across irrespective of the language.
assemble batteries;Manufacture batteries using hand tools, power tools or automated machines. Understand and read plans and blueprints regarding the technical aspects of batteries to comprehend specifications and requirements.
personal directing styles;Understand and analyse the behaviour of specific directors.
identify technological needs;Assess needs and identify digital tools and possible technological responses to address them. Adjust and customise digital environments to personal needs (e.g. accessibility).
global standards for sustainability reporting;The global, standardised reporting framework that enable organisations to quantify and communicate about their environmental, social and governance impact.
apply brazing techniques;Apply and work with a variety of techniques in the process of brazing, such as torch brazing, braze welding, dip brazing, and others.
biomedical scientists role in health care system;The roles and responsibilities of a biomedical scientist under the health care regulation system.
develop chemical products;Research and create new chemicals and plastics used in the production of a variety of goods such as pharmaceuticals, textile, building materials and household products.
operate photoreactors;Operate photoreactors under supervision.
ceramic ware;The production process and characteristics of various types of ceramic ware such as pottery, whiteware, stoneware, chinaware, porcelain or earthenware.
oversee harvest process;Oversee the harvest process on client farms and discuss with the team how they can improve their operation and resolve issues. Discuss any new ideas they have.
demonstrate technical skills during neurological surgery;Apply technical skills to open and close the scalp and skull as well as the spinal column. Meticulously control haemostasis requisite for operative neurosurgery.
ensure trains run to schedule;Ensure the timely arrival of trains at their destinations in compliance with railway schedules.
develop standard operating procedures in the food chain;Develop Standard Operating Procedures (SOP) in the food chain based on the production feedback. Understand current operating procedures and identify best techniques. Develop new procedures and update existing ones.
lop trees;Can retract trees and big branches with regard to health and safety regulations
identify progression of disease;Recognise changing signs, symptoms and progression of disease and make appropriate decisions related to the continuation or changing of the treatment.
represent the company;Represent and defend the interests of the company to customers, and provide workable solutions to problems. Pursue the highest quality customer service.
perform improvisation;Perform dialogues or actions spontaneously or without preparation.
use manual draughting techniques;Use non-computerised draughting techniques to make detailed drawings of designs by hand with specialised tools such as pencils, rulers and templates.
follow-up actions resulting from railway facilities inspections;Follow-up actions resulting from inspection into railway facilities and the identification of malfunctions or discrepancies in station platforms, vending machines, station kiosks, railway vehicles, and other railroad facilities.
manage troop deployment;Manage the deployment of troops to areas in conflict, or in need of aid, and oversee the deployment procedures. Manage the deployment of the troops within an area for specific missions, and ensure the troops and resources are allocated to the missions in compliance with tactical considerations and safety of the troops.
electricity market;The trends and major driving factors in the electricity trading market, electricity trades methodologies and practice, and the identification of the major stakeholders in the electricity sector.
mathematics;Mathematics is the study of topics such as quantity, structure, space, and change. It involves the identification of patterns and formulating new conjectures based on them. Mathematicians strive to prove the truth or falsity of these conjectures. There are many fields of mathematics, some of which are widely used for practical applications.
embalm bodies;Prepare bodies for funeral ceremonies, by cleaning and disinfecting them, using make-up to create the impression of a natural appearance and hiding or correcting any visible damages or injuries.
analgesics;The types of medication used to relief pain in various medical cases.
smooth glass edges;Use automated abrasive belts to smooth or shape glass edges.
measure yarn count;Be able to measure yarn length and mass to assess fineness of roving, sliver and yarn in different measuring systems.Also able to convert into the various numbering system such as tex, Nm, Ne, denier, etc.
identify research topics;Determine issues on social, economic or political level in order to explore them and to do research on them.
PHP;The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in PHP.
fruit and vegetables maceration;Extract essences from vegetal materials to obtain the desired aromatic properties.
manage production enterprise;Organise and instruct staff, plan production strategies and programmes including sales. Carry out input purchase orders, materials, equipment and manage stocks etc. Awareness of demands of the businesses customers and adjustments accordingly to plans and strategies. Estimate resources and control budget of enterprise applying business economics, production development and project management principles.
organise storage facilities;Order the contents of a storage area to improve efficiency with respect to the inflow and outflow of the stored items.
supervise the management of an establishment;Run the management of an establishment and ensure that every need for an smooth running of the operations is looked after.
apply tobacco manufacturing requirements;Apply all laws, regulations and administrative provisions concerning the manufacture and presentation of tobacco and related products. Understand the regulation referring to manufacturing of tobacco.
simulation-based clinical education;The activities and programs aimed at providing students with opportunities to practice their clinical and decision-making skills through various real-life situational experiences. It may involve the use of serious game, 3D virtual techniques and skill laboratories.
arrange student accommodation;Screen the several housing options including host families or guesthouses for students going on an exchange programme. Secure their housing once they have been accepted.
analyse body fluids;Test samples from human bodily fluids like blood and urine for enzymes, hormones, and other constituents, identifying blood types and determining whether donor blood is compatible with the recipient.
promote youth work in the local community;Disseminate information on the advantages of youth work in the local community and help create synergies with third parties that support and promote youth work in general.
confer with event staff;Communicate with staff members at a chosen event site to coordinate details.
energy sector policies;The public administration and regulatory aspects of the energy sector, and requirements necessary to create policies.
software anomalies;The deviations of what is standard and exceptional events during software system performance, identification of incidents that can alter the flow and the process of system execution.
types of vehicles;Field of information which distinguishes rental agency classification systems, containing types and classes of vehicles and their functioning and components.
set health, hygiene, safety and security standards;Fix standards and procedures to ensure health, hygiene, safety and security in the establishment.
monitor feeding behaviour;Monitor feeding behaviour of farm animals. Collect information on the growth of the animals, and forecast future growth. Monitor and assess biomass taking mortality into account.
strain paper on mould;Adjust the paper to the size of the frame and insert a cover paper screen and grid on top of it. Strain the whole, and dump the paper pulp in the opening of the mould and deckle. Distribute the paper pulp, let the water drain out on a metal sheet or cover and remove the mould without the grid.
apply isopropyl alcohol;Use isopropyl alcohol in order to improve the morphology and therefore the surface quality of the engraved material in a moderate and safe manner.
database;The classification of databases, that includes their purpose, characteristics, terminology, models and use such as XML databases, document-oriented databases and full text databases.
keep task records;Organise and classify records of prepared reports and correspondence related to the performed work and progress records of tasks.
ensure legal gaming;Monitor gaming operations to ensure that juridical regulations and house rules are respected at all times.
types of plastering materials;Types of plastering materials containing different proportions of materials such as gypsum, cement and lime, each with their own properties, usage cases and cost.
identify undetected organisational needs;Use the collected input and information from interviewing stakeholders and analysing organisational documents in order to detect unseen needs and improvements that would support the development of the organisation. Identify the needs of the organisation in terms of staff, equipment, and improvement of operations.
digital marketing techniques;The marketing techniques used on the web to reach and engage with stakeholders, customers and clients.
supervise nursing staff;Supervise nurses, trainees, healthcare assistants, support workers, and/or students by providing practical and theoretical training, mentoring, and support, as required.
dry tobacco leaves;Dry tobacco leaves to a precisely defined level of moisture according to product specifications.
rig loads;Safely attach loads to different types of hooks and attachments, taking into account the weight of the load, the power available to move it, static and dynamic tolerances of all instruments and materials, and the mass distribution of the system. Communicate with the operator verbally or with gestures to ensure the safety and efficiency of the operation. Detach loads.
OpenEdge Database;The computer program OpenEdge Database is a tool for creating, updating and managing databases, developed by the software company Progress Software Corporation.
update design results during rehearsals;Updating the design results based on observation of the stage image during the rehearsals, especially where the different designs and the action are integrated.
advise clients on moving services;Provide clients with information with regard to moving services. Advise clients on services, modalities, relocation possibilities, and aspects which must be taken into consideration when planning a move.
respond to incidents in cloud;Troubleshoot issues with the cloud and determine how to restore operations. Design and automate disaster recovery strategies and evaluate a deployment for points of failure.
operate video equipment;Use  of various types of video equipment.
use geographic information systems;Work with computer data systems such as Geographic Information Systems (GIS).
empower individuals, families and groups;Empower individuals, families and groups towards healthy lifestyles and self-care.
label belts;Label each belt with the specific identification band.
take pictures;Take photographs of individual people, families and groups, either in a studio setting or on location.
supervise chiropractic students;"Supervise chiropractic students in the workplace and share own expertise with them; train them so that they can perform well in the workplace."
diving operation requirements;The operational plan and the contingency plan for the diving operation, the diving equipment to be used in the diving operation, the diving signals to be used in the diving operation, the in-water decompression procedures to be used in the diving operation, and any emergency procedures that might have to be used in the diving operation.
conduct research on climate processes;Conduct research on the characteristic events occurring in the atmosphere during the interactions and transformations of various atmospheric components and conditions.
fingerspelling;The image of letters of alphabets using only one’s hands.
mechanical tools;Understand machines and tools, including their designs, uses, repair, and maintenance.
parts of a surface grinding machine;The various compartments of machinery designed for grinding processes, such as the grinding wheel, wheel guard, table dog, saddle, table clamp, one-shot lubricator, and others.
detect microorganisms;Use various laboratory methods and tools such as gene amplification and sequencing to detect and identify microorganisms such as bacteria and fungi in soil, air, and water samples.
maintain aerodrome equipment;Maintain aerodrome equipment serviceability by performing continuous checks.
minimise environmental impact on the surrounding area;Minimise the waste of materials and dispose of debris correctly. Minimise the damage to plants, features and surrounding areas.
aircraft cargo capacity;Know the aircraft specifications and characteristics in order to organise and assess cargo loading capacities.
measure the impact of specific aquaculture activity;Identify and measure the biological, physico-chemical impacts of specific aquaculture farm activity on the environment. Carry out all necessary tests, including collection and processing of samples for analysis.
adolescent socialisation behaviour;The social dynamics through which young adults live amongst each other, expressing their likes and dislikes and the rules of communication between generations.
manage emergency procedures;React quickly in case of emergency and set planned emergency procedures in motion.
manage adverse reactions to anaesthesia;Handle patients with adverse reactions to anaesthetics administered during the operation.
oversee rehabilitation process;Oversee the rehabilitation process of offenders during their stay in a correctional facility, to ensure that they follow the instructions, show good behaviour, and work towards full re-integration when they are released.
use databases;Use software tools for managing and organising data in a structured environment which consists of attributes, tables and relationships in order to query and modify the stored data.
wild game meat food safety;Understand food safety management procudures and national requirements for wild game meat.
create game testing software;Develop software to test and evaluate online and land-based gambling, betting and lottery games.
seat customers according to the waiting list;Accommodate customers according to the waiting list, reservation and position in the queue.
operate grappler;Operate a hydraulic grappler, an attachment to heavy machinery used to grab and manipulate cylindrical objects such as trees or pipes. Lift up the object, safely manoeuvre it, and set it down in the desired position.
serve wines;Provide wine using proper techniques in front of the customers. Open the bottle correctly, decant the wine if needed, serve and keep the wine in the proper temperature and container.
manage campsite supplies;Monitor stocks of camp-site supplies and camping equipment, select and monitor suppliers and ensure stock rotation and maintenance.
natural gas liquids recovery processes;Be aware of common processes used to separate heavier hydrocarbons such as ethane, propane and butane from the methane, which is the finished product of the gas processing plant. Be aware of oil absorption techniques, cryogenic expansion processes, and other relevant processes.
design wayside signalling interlockings;Design procedures to implement wayside signalling interlockings. Analyse routes and aspect charts and take into account highway crossing warning systems.
control the production of game meat for human consumption;Support the hygienic handling of dead game. Inspect game carcasses to make sure it is suitable for consumption. Ensure game meat is handled, stored and dispatched hygienically and according to legal requirements.
manage difficult clients;Handle clients who become aggressive or who do not want to pay because they are not content about the service.
collect oil samples;"Collect petroleum product samples by turning bleed valves; insert container into tank to obtain sample material."
Xcode;The computer program Xcode is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software company Apple.
translate texts;Translate text from one language to another, conserving the meaning and the nuances of the original text, without adding, changing or omitting anything and avoiding the expression of personal feelings and opinions.
advise guests on menus for special events;Offer recommendations to guests on meal and drink items available for special events or parties in a professional and friendly manner.
video-games trends;Latest developments in the video-games industry.
maintain recycling records;Maintain records and process facts and figures about type and volume of different recycling operations.
test absorbency;Execute standard tests to establish (diaper) absorbency, such as Demand Wettability or Gravimetric Absorbance. These tests evaluate the Absorbance Under Load and the fibre to particle ratio or the ability of the product to soak up moisture.
saw off filament mandrel pins;After the filament workpiece has been removed from the winding machine, saw off the pins that keep the workpiece in place on the mandrel in order to facilitate removal of the workpiece.
attend read-through;Attend the organised reading of the script, where the actors, director, producers, and scriptwriters read the script thoroughly.
operate stowage programmes;Operate stowage programmes used for controlling stability in vessels, loading operations, and cargo planning processes. Interpret graphical interfaces, stowage data and scenario variables.
follow interpreting quality standards;Follow the agreed upon standards to ensure that the requirements for interpreters are met and to guarantee unity. This may include such standards as the European standard EN 15038 for translation.
meet expectations of target audience;Research the needs and expectations of the target audience to ensure the programs theme meets both.
manage student relationships;Manage the relations between students and between student and teacher. Act as a just authority and create an environment of trust and stability.
manipulate wood;Manipulate the properties, shape and size of wood.
manage health and safety standards;Oversee all personnel and processes to comply with health, safety and hygiene standards. Communicate and support alignment of these requirements with the companys health and safety programmes.
dye wigs;Apply dyes to wigs to obtain the desired colour.
supervise horticultural crews;Supervise the horticultural crews by planning, assigning and evaluating their daily activities.
monitor stock level;Evaluate how much stock is used and determine what should be ordered.
provide victim assistance;Provide support to victims of crimes to help them cope with the situation, including with crime victimization.
create jewellery;Create pieces of jewellery using precious materials such as silver and gold.
financial engineering;The finance theory field that addresses the combination of applied mathematics, computer science, and financial theory aimed at calculating and forecasting different financial variables ranging from the creditworthiness of a debtor up to the performance of securities in the stock market.
aquatic ecology;Aquatic ecology is the study of aquatic organisms, how they interact, where they live, and what they do.
sales activities;The supply of goods, sale of goods and the related financial aspects. The supply of goods entails the selection of goods, import and transfer. The financial aspect includes the processing of purchasing and sales invoices, payments etc. The sale of goods implies the proper presentation and positioning of the goods in the shop in terms of acessibility, promotion, light exposure.
write Bulgarian;Compose written texts in Bulgarian.
design job analysis tools;Identify the need for and design job analysis tools, such as manuals, reporting forms, training films or slides.
liaise with well test engineers;Establish relationships with well testing engineers in order to optimise procedures.
improve chemical processes;Collect data required to make improvements or modifications to chemical processes. Develop new industrial processes, design new process plants/equipment or modify existing ones.
follow ethical code of conduct of gambling;Follow the rules and ethical code used in gambling, betting and lottery. Keep the entertainment of players in mind.
Sanskrit;The Sanskrit language.
analyse telescope images;Examine images taken by telescopes in order to study phenomena and objects outside Earths atmosphere.
develop investment portfolio;Create an investment portfolio for a customer that includes an insurance policy or multiple policies to cover specific risks, such as financial risks, assistance, reinsurance, industrial risks or natural and technical disasters.
perform small vessel safety measures;Organise and monitor safety, applying the regulations for risk prevention at work. Organise and manage emergency operations such as flooding, abandoning ship, survival at sea, search and rescue of shipwrecked, according to the ships emergency plans, to ensure safety. Organise and direct the operations of fire fighting and prevention, according to the ships emergency plans to ensure safety.
veterinary terminology;Spelling and meaning of commonly used terminology of veterinary terms.
develop solutions to information issues;Analyse information needs and challenges to develop effective technological solutions.
monitor service users health;Perform routine monitoring of clients health, such as taking temperature and pulse rate.
ensure cost efficiency in food manufacturing;Ensure that the whole process of food manufacturing from receipt of raw materials, production, to food manufacturing and packaging processes is cost-effective and efficient.
